Bastusel_to_Grytfors_disch	Bastusel_lower
Bergnäs_to_Slagnäs_disch	Bergnäs_lower
Båtfors_to_Finnfors_disch	Båtfors_lower
Finnfors_to_Granfors_disch	Finnfors_lower
Gallejaur_to_Vargfors_disch	Gallejaur_lower
Granfors_to_Krångfors_disch	Granfors_lower
Grytfors_to_Gallejaur_disch	Grytfors_lower
Krångfors_to_Selsfors_disch	Krångfors_lower
Kvistforsen_to_downstream_disch	Kvistforsen_lower
Rebnis_to_Bergnäs_disch	Rebnis_lower
Rengård_to_Båtfors_disch	Rengård_lower
Sadva_to_Bergnäs_disch	Sadva_lower
Selsfors_to_Kvistforsen_disch	Selsfors_lower
Slagnäs_to_Bastusel_disch	Slagnäs_lower
Vargfors_to_Rengård_disch	Vargfors_lower
