Rebnis_pwr_plant	Rebnis_lower
Sadva_pwr_plant	Sadva_lower
Bergnäs_pwr_plant	Bergnäs_lower
Slagnäs_pwr_plant	Slagnäs_lower
Bastusel_pwr_plant	Bastusel_lower
Grytfors_pwr_plant	Grytfors_lower
Gallejaur_pwr_plant	Gallejaur_lower
Vargfors_pwr_plant	Vargfors_lower
Rengård_pwr_plant	Rengård_lower
Båtfors_pwr_plant	Båtfors_lower
Finnfors_pwr_plant	Finnfors_lower
Granfors_pwr_plant	Granfors_lower
Krångfors_pwr_plant	Krångfors_lower
Selsfors_pwr_plant	Selsfors_lower
Kvistforsen_pwr_plant	Kvistforsen_lower
