station_index,station_name,downstream,Pmax,Qmax,Mmax,Qavg,FlowTimeQ,FlowTimeS,river,Elområde,Smin,Qmin
1,Ritsem,2,320,240,177780,38,0,0,Luleälven,1,0,0
2,Vietas,3,320,540,1989000,215,0,0,Luleälven,1,0,0
3,Porjus,4,465,940,175500,259,15,15,Luleälven,1,0,0
4,Harspranget,5,1001,1040,1778,259,15,15,Luleälven,1,0,0
5,Ligga,6,367,970,1500,263,60,60,Luleälven,1,0,0
6,Messaure,12,442,615,14700,274,150,150,Luleälven,1,0,0
7,Seitevare,8,225,135,466000,58,0,0,Luleälven,1,0,0
8,Parki,9,20,155,131900,114,60,60,Luleälven,1,0,0
9,Randi,10,86,485,27200,125,60,60,Luleälven,1,0,0
10,Akkats,11,158,450,11500,171,90,90,Luleälven,1,0,0
11,Letsi,12,456,370,1900,176,45,45,Luleälven,1,0,0
12,Porsi,13,272,960,7500,458,60,60,Luleälven,1,0,0
13,Laxede,14,207,985,19165,466,300,300,Luleälven,1,0,0
14,Vittjarv,15,30,680,3610,495,30,30,Luleälven,1,0,0
15,Boden,0,78,720,220,495,0,0,Luleälven,1,0,0
16,Rebnis,18,64,80,205560,21.5,2880,2880,Skellefteälven,1,0,0
17,Sadva,18,31,70,168000,34.6,2880,2880,Skellefteälven,1,2.6,0
18,Bergnäs,19,8,160,216120,105,60,60,Skellefteälven,1,15,0
19,Slagnäs,20,7,160,768,106.6,240,240,Skellefteälven,1,16,0
20,Bastusel,21,97,170,8208,110.7,60,150,Skellefteälven,1,0,0
21,Grytfors,22,31,165,1248,117.2,15,15,Skellefteälven,1,0,0
22,Gallejaur,23,220,305,3600,118.2,30,150,Skellefteälven,1,0,0
23,Vargfors,24,105,310,4008,119.6,180,180,Skellefteälven,1,0,0
24,Rengård,25,36,220,1400,141.5,180,180,Skellefteälven,1,0,0
25,Båtfors,26,41,280,1330,150.2,180,180,Skellefteälven,1,0,0
26,Finnfors,27,42,235,300,155.3,180,180,Skellefteälven,1,0,0
27,Granfors,28,39,240,280,155.6,180,180,Skellefteälven,1,0,0
28,Krångfors,29,65,240,330,156,180,180,Skellefteälven,1,0,0
29,Selsfors,30,62,300,500,158.4,180,180,Skellefteälven,1,0,0
30,Kvistforsen,0,140,300,1120,158.5,0,0,Skellefteälven,1,0,20
31,Gejman,34,65,28,115392,13.8,60,60,Ume älv,2,0,0
32,Klippen,33,27,50,99216,23,480,720,Ume älv,2,0,0
33,Ajaure,34,75,165,57984,95,15,30,Ume älv,2,0,0
34,Gardikfors,36,60,160,242064,121,45,45,Ume älv,2,0,0
35,Juktan,36,25,50,160272,26,45,480,Ume älv,2,0,0
36,Umluspen,37,86,330,305856,180,30,30,Ume älv,2,0,0
37,Stensele,38,50,315,1392,188,120,120,Ume älv,2,0,0
38,Grundfors,39,90,330,4008,192,360,360,Ume älv,2,0,0
39,Rusfors,40,45,450,20832,216,60,60,Ume älv,2,0,0
40,Balforsen,41,83,315,1000,217,20,20,Ume älv,2,0,0
41,Betsele,42,25,320,900,217,20,20,Ume älv,2,0,0
42,Hallforsen,43,21,320,0,223,30,30,Ume älv,2,0,0
43,Tuggen,44,110,480,3000,227,210,210,Ume älv,2,0,0
44,BjurforsO,45,42,450,0,232,10,10,Ume älv,2,0,0
45,BjurforsN,46,78,450,0,232,30,30,Ume älv,2,0,0
46,Harrsele,47,203,450,0,237,30,30,Ume älv,2,0,0
47,Pengfors,48,52,450,795,237,120,120,Ume älv,2,0,0
48,Stornorrfors,0,590,1040,2808,440,0,0,Ume älv,2,0,0
49,Stalon,50,105,75,68160,38,80,80,Ångermanälven,2,0,0
50,Malgomaj,51,10,140,154720,74,10,10,Ångermanälven,2,0,0
51,Volgsjofors,52,20,280,3055,134,120,120,Ångermanälven,2,0,0
52,Stenkullafors,53,58,295,1275,141,90,90,Ångermanälven,2,0,0
53,Asele,54,27,295,1050,157,240,240,Ångermanälven,2,0,0
54,Hallby,55,84,280,8000,169,30,30,Ångermanälven,2,0,0
55,Gulsele,56,64,270,1450,172,60,60,Ångermanälven,2,0,0
56,Degerforsen,57,61,300,1625,174,10,10,Ångermanälven,2,0,0
57,Edenforsen,58,64,300,1125,175,90,90,Ångermanälven,2,0,0
58,Langbjorn,59,98,350,1100,181,30,30,Ångermanälven,2,0,0
59,Lasele,70,141,305,1130,189,20,20,Ångermanälven,2,0,0
60,Dabbsjo,62,26,74,93610,31,65,65,Ångermanälven,2,0,0
61,Bergvattnet,62,21,34,3610,16.7,40,40,Ångermanälven,2,0,0
62,Korsselbranna,63,110,120,9720,54,15,15,Ångermanälven,2,0,0
63,Tasjo,64,13,135,72780,62,60,60,Ångermanälven,2,0,0
64,Hoting,65,15,175,6390,78,20,20,Ångermanälven,2,0,0
65,Borgforsen,66,26,210,1500,116,120,120,Ångermanälven,2,0,0
66,Bodum,67,12,220,5928,117,60,60,Ångermanälven,2,0,0
67,Fjallsjo,68,16,240,1100,122,30,30,Ångermanälven,2,0,0
68,Sil,69,15,240,100,122,120,120,Ångermanälven,2,0,0
69,Kilforsen,70,288,360,1950,131,20,20,Ångermanälven,2,0,0
70,Namforsen,71,112,635,620,320,25,25,Ångermanälven,2,0,0
71,Moforsen,72,135,600,500,320,60,60,Ångermanälven,2,0,0
72,Forsmo,85,156,555,1330,320,35,35,Ångermanälven,2,0,0
73,Blasjon,74,60,80,136110,33,15,15,Ångermanälven,2,0,0
74,Junsterforsen,76,33,120,45000,45,15,15,Ångermanälven,2,0,0
75,Linnvasselv,76,45,52.5,155560,25,10,10,Ångermanälven,2,0,0
76,Gaddede,77,20,175,173610,83,360,360,Ångermanälven,2,0,0
77,Bagede,78,14,170,36000,110,600,600,Ångermanälven,2,0,0
78,Lovon,79,37,300,5730,142,120,120,Ångermanälven,2,0,0
79,Storfinnforsen,80,110,270,2000,151,60,60,Ångermanälven,2,0,0
80,Ramsele,81,155,240,1100,155,60,60,Ångermanälven,2,0,0
81,Edsele,83,60,240,480,157,600,600,Ångermanälven,2,0,0
82,Ledinge,83,12,20,0,6.9,40,40,Ångermanälven,2,0,0
83,Forsse,84,52,300,0,166,20,20,Ångermanälven,2,0,0
84,Hjalta,85,165,270,1210,170,20,20,Ångermanälven,2,0,0
85,Solleftea,0,60,790,1000,490,0,0,Ångermanälven,2,0,0
86,Stensjofallet,87,94,36,48170,8.5,10,10,Indalsälven,2,0,0
87,Kvarnfallet,88,19,44,3055,19.1,120,120,Indalsälven,2,0,0
88,Nasaforsen,89,12.5,100,40830,76,150,150,Indalsälven,2,0,0
89,Hogfors,102,12.9,140,4720,84,110,110,Indalsälven,2,0,0
90,Olden1,92,66,31,54720,7.4,80,80,Indalsälven,2,0,0
91,Olden2,92,54,34,57220,12.9,80,80,Indalsälven,2,0,0
92,Ronnofors,102,3.9,51,0,29,360,360,Indalsälven,2,0,0
93,Torron,94,25,165,327220,46,15,15,Indalsälven,2,0,0
94,Juveln,96,13,150,74720,57,10,10,Indalsälven,2,0,0
95,Anjan,96,23,72,85830,15,10,10,Indalsälven,2,0,0
96,Jarpstrommen,97,118,220,139440,88,30,30,Indalsälven,2,0,0
97,Morsil,99,44,320,196700,158,35,35,Indalsälven,2,0,0
